Gene.symbol	Gene.ID	adj.P.Val	P.Value	logFC
PLOD2	5352	1.66938817108538e-30	7.49175681499518e-35	-3.77307835875214
PLOD2	5352	2.22020368050107e-30	1.99273318718401e-34	-3.11427634294018
PBX1	5087	5.74567563474389e-28	7.7355054993635e-32	-4.94022777790598
NAP1L3	4675	1.6592015615882e-25	2.97841684079917e-29	-4.57600383323932
PFKM	5213	1.12523504737781e-24	2.52487332804785e-28	-3.22510678269231
MYH10	4628	1.0993653937482e-23	2.96019044226056e-27	-4.4222243637906
PBX1	5087	1.45094489556028e-21	4.55801026294573e-25	-3.52420027656838
CRHBP	1393	1.69428397159517e-21	6.08278587836527e-25	-6.05707992519231
FBN1	2200	2.14199175628322e-21	8.65140502021675e-25	-2.65154556577778
TSPYL5	85453	3.43748994858977e-21	1.54265132549018e-24	-3.80086322179915
NUDT11	55190	7.79172198316485e-20	3.84638252545947e-23	-2.08112754528205
CRYGD	1421	3.83483933219967e-17	2.06516501307706e-20	-1.75769881838034
FHL2	2274	9.41432415422799e-17	5.49235803100857e-20	-3.96161942827351
KLF1	10661	1.06753268885889e-16	6.70711198852239e-20	-3.71004666034188
HLF	3131	1.90107343941388e-16	1.27972452502841e-19	-3.20304377756411
TYROBP	7305	3.74849779982398e-16	2.69155700745787e-19	4.49813532676923
SERPINE2	5270	3.872042742597e-16	2.95403341669205e-19	-3.77521618098718
CLGN	1047	1.40461239680283e-15	1.13463282064583e-18	-1.87478739325214
PRKG2	5593	1.71949716841159e-15	1.46616013103353e-18	-1.86032976062393
CTDSPL	10217	7.57159846383451e-15	6.79585196233408e-18	-1.99768302797009
TMSB15B///TMSB15A	286527///11013	9.40307216179133e-15	8.8616665349198e-18	-1.63164147599146
LGALS1	3956	1.54867971395418e-14	1.52901107153399e-17	3.3877974585
PRKCD	5580	1.79052763252492e-14	1.84814143284446e-17	3.14894683925641
PLS3	5358	6.5669415830043e-14	7.07295238487202e-17	-3.53610273176496
ARMCX1	51309	1.01405451217958e-13	1.13769971747474e-16	-2.38220769975641
TMEM246	84302	1.49839130236175e-13	1.74833612446284e-16	-2.04688225852137
DSG2	1829	2.2725517904143e-13	2.75361927663179e-16	-3.44350325321368
HLF	3131	3.58683125104377e-13	4.50708051111724e-16	-2.33468172813675
GUCY1B3	2983	3.88943180908067e-13	5.06186431195707e-16	-3.09096098831197
ALDH1A1	216	4.65736182746966e-13	6.2702892260508e-16	-4.46729959871368
MLLT3	4300	7.02323986879613e-13	9.77069676132836e-16	-2.60742162302564
DNAJC12	56521	1.04486887642915e-12	1.50050729460723e-15	-1.93095982218803
REC8	9985	1.38181381057699e-12	2.04639661396763e-15	-2.04489461800855
